Nombre Apellido Edad Genero
Carina, Grasia, 73, H
Baltasar, Cardoso, 24, M
Barry, Cariaga, 95, M
Baruj, Castorena, 4, M
Baruj, Castorena, 4, H
Canela, Grangenal, 55, M
Candelaria, Castro, 10, H
Baldwin, Cardona, 90, M
Bartolo, Carillo, 16, H
Candelaria, Castro, 42, H
Barry, Cariaga, 44, H
Candelaria, Castro, 81, M
Baltasar, Cardoso, 55, H
Baltasar, Cardoso, 95, H
Baltasar, Cardoso, 33, H
Carina, Grasia, 81, H
Canela, Grangenal, 50, M
Balduino, Cardiel, 22, M
Baruc, Castiyo, 39, M
Baruc, Castiyo, 95, H
Carina, Grasia, 42, H
Candelaria, Castro, 53, M
Baruj, Castorena, 99, M
Barry, Cariaga, 90, M
Bartolomé, Carion, 80, M
Canela, Grangenal, 80, M
Baltasar, Cardoso, 88, M
Baruc, Castiyo, 84, H
Caritina, Grigalva, 35, H
Caritina, Grigalva, 96, H
Baldomero, Cardenas, 90, M
Bartolomé, Carion, 61, H
Carisa, Griego, 82, H
Baltasar, Cardoso, 24, M
David, Guerrero, 76, H
Canela, Grangenal, 28, M
Caritina, Grigalva, 62, H
Caritina, Grigalva, 26, H
Caritina, Grigalva, 98, M
Baruc, Castiyo, 53, H
Carina, Grasia, 51, H
Caridad, Grano, 42, H
Baruj, Castorena, 70, M
Balduino, Cardiel, 49, M
Canela, Grangenal, 93, H
Caritina, Grigalva, 24, M
Carisa, Griego, 16, H
David, Guerrero, 90, H
Caridad, Grano, 93, M
Andrea, Gomez, 7, H
